serial,ispc,ispc_multicore,cuda
256x256_8.txt,307.436,13.9443,5.5118,3.7282
256x256_64.txt,9917.0314,397.7633,81.0201,80.6429
256x256_216.txt,40457.1818,1350.0106,338.8307,285.467
256x256_512.txt,82500.219,2579.5401,640.6096,599.9994
256x256_1000.txt,129422.1739,4255.0423,954.4243,1015.3802
512x512_8.txt,1662.1425,68.8161,12.3867,12.7741
512x512_64.txt,38980.5898,1281.2427,314.3759,234.7068
512x512_216.txt,167628.1643,4833.7024,1104.387,831.9708
512x512_512.txt,321159.872,9096.0107,2017.9767,1660.328
512x512_1000.txt,516826.7664,14637.526,3289.2167,2899.224
1024x1024_8.txt,5138.1407,222.0572,42.2678,34.3542
1024x1024_64.txt,156560.9567,4597.4844,987.1776,721.4077
1024x1024_216.txt,654972.353,17224.4622,3801.0456,2476.4836
1024x1024_512.txt,1298173.636,31700.1063,7388.5514,5045.9118
1024x1024_1000.txt,2099290.9299,51857.3167,12110.6979,8422.525
